activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,18107020,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '23.87', 'le': '0.44', 'lle': '5.92', 'sei': '8.39'}",CHEMBL221959,TOFACITINIB,CHEMBL221959,7.46,0,http://www.openphacts.org/units/Nanomolar,3002786,=,1,1,=,,IC50,nM,,35.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.035
,18107021,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '20.29', 'le': '0.40', 'lle': '6.44', 'sei': '6.25'}",CHEMBL2105759,BARICITINIB,CHEMBL2105759,7.54,0,http://www.openphacts.org/units/Nanomolar,3002787,=,1,1,=,,IC50,nM,,29.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.029
,18107022,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '21.91', 'le': '0.40', 'lle': '3.24', 'sei': '8.07'}",CHEMBL1789941,RUXOLITINIB,CHEMBL1789941,6.71,0,http://www.openphacts.org/units/Nanomolar,3002788,=,1,1,=,,IC50,nM,,194.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.194
,18107023,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)c2ccccc2)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '19.04', 'le': '0.37', 'lle': '4.91', 'sei': '7.48'}",CHEMBL4101374,,CHEMBL4101374,6.81,0,http://www.openphacts.org/units/Nanomolar,3002789,=,1,1,=,,IC50,nM,,156.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.156
,18107024,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(C)(=O)=O)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '20.74', 'le': '0.42', 'lle': '5.65', 'sei': '6.73'}",CHEMBL4100431,,CHEMBL4100431,6.12,0,http://www.openphacts.org/units/Nanomolar,3002790,=,1,1,=,,IC50,nM,,750.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.75
,18107025,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '19.49', 'le': '0.39', 'lle': '5.17', 'sei': '6.63'}",CHEMBL4092805,,CHEMBL4092805,6.03,0,http://www.openphacts.org/units/Nanomolar,3002791,=,1,1,=,,IC50,nM,,930.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.93
,18107026,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CC(C)CS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '19.78', 'le': '0.40', 'lle': '5.17', 'sei': '7.34'}",CHEMBL3655082,,CHEMBL3655082,6.67,0,http://www.openphacts.org/units/Nanomolar,3002792,=,1,1,=,,IC50,nM,,212.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.212
,18107027,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)CC(F)(F)F)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '18.80', 'le': '0.39', 'lle': '5.42', 'sei': '7.51'}",CHEMBL3655080,,CHEMBL3655080,6.83,0,http://www.openphacts.org/units/Nanomolar,3002793,=,1,1,=,,IC50,nM,,147.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.147
,18107028,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)c2ccc(F)cc2)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '18.57', 'le': '0.37', 'lle': '4.93', 'sei': '7.66'}",CHEMBL4103698,,CHEMBL4103698,6.97,0,http://www.openphacts.org/units/Nanomolar,3002794,=,1,1,=,,IC50,nM,,107.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.107
,18107029,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)Cc2ccccc2)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '15.09', 'le': '0.29', 'lle': '3.57', 'sei': '6.16'}",CHEMBL4085011,,CHEMBL4085011,5.61,0,http://www.openphacts.org/units/Nanomolar,3002795,=,1,1,=,,IC50,nM,,2480.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,2.48
Not Determined,18107030,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCNS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,,CHEMBL4071850,,CHEMBL4071850,,0,,3002796,,1,0,,,IC50,,,,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,,,,
,18107031,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCCNS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '19.15', 'le': '0.38', 'lle': '5.72', 'sei': '6.29'}",CHEMBL4098094,,CHEMBL4098094,6.48,0,http://www.openphacts.org/units/Nanomolar,3002797,=,1,1,=,,IC50,nM,,331.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.331
Not Determined,18107032,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)NC2CC2)C1,,,CHEMBL4020822,J Med Chem,2018,,CHEMBL4078655,,CHEMBL4078655,,0,,3002798,,1,0,,,IC50,,,,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,,,,
,18107033,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)NCC2CC2)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '17.44', 'le': '0.35', 'lle': '5.35', 'sei': '5.93'}",CHEMBL3655097,,CHEMBL3655097,6.11,0,http://www.openphacts.org/units/Nanomolar,3002799,=,1,1,=,,IC50,nM,,773.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.773
Not Determined,18107034,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)NCCCC#N)C1,,,CHEMBL4020822,J Med Chem,2018,,CHEMBL4082035,,CHEMBL4082035,,0,,3002800,,1,0,,,IC50,,,,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,,,,
,18107035,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '19.92', 'le': '0.40', 'lle': '4.53', 'sei': '7.78'}",CHEMBL4100048,,CHEMBL4100048,6.14,0,http://www.openphacts.org/units/Nanomolar,3002801,=,1,1,=,,IC50,nM,,721.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.721
Not Determined,18107036,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)C2CC2)C1,,,CHEMBL4020822,J Med Chem,2018,,CHEMBL4075575,,CHEMBL4075575,,0,,3002802,,1,0,,,IC50,,,,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,,,,
,18107037,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCCS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '18.16', 'le': '0.36', 'lle': '3.85', 'sei': '7.41'}",CHEMBL4090590,,CHEMBL4090590,5.85,0,http://www.openphacts.org/units/Nanomolar,3002803,=,1,1,=,,IC50,nM,,1400.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,1.4
,18107038,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCCCS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '20.24', 'le': '0.40', 'lle': '4.42', 'sei': '8.63'}",CHEMBL3658860,,CHEMBL3658860,6.81,0,http://www.openphacts.org/units/Nanomolar,3002804,=,1,1,=,,IC50,nM,,155.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.155
Not Determined,18107039,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccccc2)C1,,,CHEMBL4020822,J Med Chem,2018,,CHEMBL4103586,,CHEMBL4103586,,0,,3002805,,1,0,,,IC50,,,,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,,,,
Not Determined,18107040,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCNS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,,CHEMBL4089286,,CHEMBL4089286,,0,,3002806,,1,0,,,IC50,,,,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,,,,
Not Determined,18107041,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCCNS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,,CHEMBL4059894,,CHEMBL4059894,,0,,3002807,,1,0,,,IC50,,,,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,,,,
Not Determined,18107042,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCCCNS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,,CHEMBL4093643,,CHEMBL4093643,,0,,3002808,,1,0,,,IC50,,,,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,,,,
Not Determined,18107043,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)NCC2CC2)C1,,,CHEMBL4020822,J Med Chem,2018,,CHEMBL4066876,,CHEMBL4066876,,0,,3002809,,1,0,,,IC50,,,,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,,,,
,18107044,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '20.79', 'le': '0.42', 'lle': '5.47', 'sei': '7.39'}",CHEMBL3655081,ABROCITINIB,CHEMBL3655081,6.72,0,http://www.openphacts.org/units/Nanomolar,3002810,=,1,1,=,,IC50,nM,,189.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.189
,18107045,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCCS(=O)(=O)N[C@H]1C[C@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '16.05', 'le': '0.32', 'lle': '3.94', 'sei': '5.71'}",CHEMBL4101725,,CHEMBL4101725,5.19,0,http://www.openphacts.org/units/Nanomolar,3002811,=,1,1,=,,IC50,nM,,6450.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,6.45
,18107046,[],CHEMBL4022972,Inhibition of JAK1/TYK2 in human whole blood assessed as reduction in IFNalpha induced STAT3 phosphorylation preincubated for 45 mins followed by IFNalpha addition measured after 15 mins by flow cytometric analysis,B,,,BAO_0000190,BAO_0000223,protein complex format,CCCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,,,CHEMBL4020822,J Med Chem,2018,"{'bei': '19.53', 'le': '0.39', 'lle': '4.95', 'sei': '7.25'}",CHEMBL4087961,,CHEMBL4087961,6.59,0,http://www.openphacts.org/units/Nanomolar,3002812,=,1,1,=,,IC50,nM,,256.0,CHEMBL3301391,Homo sapiens,JAK1/TYK2,9606,,,IC50,uM,UO_0000065,,0.256
